ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 1 0 1
No No 1 1 0 1
Yes No 1 1 0 1
Yes Yes 1 0.986899282679679 0.0131007173203208 1
No Yes 1 0.0313410597125226 0.968658940287477 2
No No 1 1 0 1
Yes Yes 1 0.0634389978870846 0.936561002112915 2
NA NA 1 0.0000376945369851416 0.999962305463015 2
No No 1 0.992673731827713 0.00732626817228731 1
No No 1 1 0 1
No No 1 1 0 1
Yes No 1 1 0 1
Yes Yes 1 0.149674340565784 0.850325659434216 2
NA NA 1 1 0 1
Yes No 1 0 1 2
Yes Yes 1 1 0 1
Yes Yes 1 1 0 1
Yes Yes 1 1 0 1
Yes NA 1 1 0 1
NA NA 1 0.995815919731206 0.00418408026879428 1
No Yes 1 0.998550129983345 0.00144987001665541 1
No No 1 1 0 1
NA NA 1 1 0 1
No NA 1 1 0 1
No No 1 0.990390939084182 0.00960906091581791 1
No No 1 0.00119327513908373 0.998806724860916 2
NA NA 1 0.999994641246094 0.00000535875390609941 1
No Yes 1 1 0 1
Yes Yes 1 0.999998990086144 0.00000100991385578853 1
No No 1 0.0000366269205172847 0.999963373079483 2
Yes Yes 1 0.215537417214687 0.784462582785313 2
Yes No 1 1 0 1
Yes No 1 1 0 1
Yes No 1 1 0 1
Yes Yes 1 1 0 1
NA Yes 1 1 0 1
NA NA 1 0.999999979466383 0.0000000205336166009752 1
No NA 1 0.00277678163604363 0.997223218363956 2
No NA 1 0.998375672293503 0.00162432770649659 1
No Yes 1 0.0514677759206586 0.948532224079341 2
Yes Yes 1 0.971460703692429 0.0285392963075712 1
No NA 1 1 0 1
No No 1 0.999546733187642 0.000453266812358032 1
NA Yes 1 0.218052382992619 0.781947617007381 2
No Yes 1 1 0 1
Yes NA 1 1 0 1
Yes Yes 1 0 1 2
Yes Yes 1 0.996924666960125 0.00307533303987518 1
No NA 1 1 0 1
No No 1 1 0 1
No No 1 1 0 1
No Yes 1 1 0 1
Yes No 1 1 0 1
Yes No 1 0.976851890752562 0.0231481092474384 1
No Yes 1 0.0290351290685752 0.970964870931425 2
NA NA 1 0.124238025888081 0.875761974111919 2
No No 1 0.00388813312525008 0.99611186687475 2
NA Yes 1 1 0 1
Yes Yes 1 1 0 1
No No 1 0 1 2
Yes Yes 1 1 0 1
Yes Yes 1 0.0105753501979829 0.989424649802017 2
No Yes 1 0.061809922851008 0.938190077148992 2
Yes Yes 1 0.999993589147665 0.00000641085233475945 1
Yes Yes 1 1 0 1
Yes Yes 1 1 0 1
No No 1 0 1 2
Yes No 1 1 0 1
Yes Yes 1 0.000831387651148509 0.999168612348851 2
No No 1 0 1 2
No No 1 1 0 1
No No 1 0 1 2
No Yes 1 1 0 1
No Yes 1 0.0000687884292659925 0.999931211570734 2
Yes Yes 1 1 0 1
Yes Yes 1 0.999992210104003 0.00000778989599705272 1
Yes No 1 0.000290710684056232 0.999709289315944 2
Yes No 1 0 1 2
Yes No 1 0 1 2
Yes Yes 1 1 0 1
No No 1 0 1 2
Yes NA 1 1 0 1
No No 1 0.999907570842786 0.000092429157213758 1
No No 1 0.0000114549630525079 0.999988545036947 2
No No 1 1 0 1
Yes No 1 0.000562931439001793 0.999437068560998 2
Yes NA 1 0.501234453873879 0.498765546126121 1
Yes NA 1 1 0 1
No NA 1 1 0 1
Yes No 1 0.924553104273428 0.0754468957265721 1
Yes No 1 1 0 1
Yes Yes 1 1 0 1
Yes NA 1 0.999999300231823 0.000000699768176929874 1
NA Yes 1 0.263363490322441 0.736636509677559 1
No No 1 0.0000599644634201653 0.99994003553658 2
Yes Yes 1 1 0 1
NA NA 1 1 0 1
Yes Yes 1 1 0 1
No No 1 0.000424458529752954 0.999575541470247 2
Yes Yes 1 1 0 1
No Yes 1 0.000048238981075274 0.999951761018925 2
Yes No 1 0.819298838958283 0.180701161041717 1
Yes Yes 1 1 0 1
No No 1 0.999758202733338 0.000241797266661656 1
NA NA 1 0.217138872984982 0.782861127015018 2
No NA 1 0.0167537113548361 0.983246288645164 2
Yes Yes 1 0 1 2
Yes No 1 0.988745113413517 0.0112548865864827 1
No Yes 1 0.767423731816884 0.232576268183116 1
Yes Yes 1 1 0 1
Yes No 1 0.5 0.5 1
No No 1 0.858893561137896 0.141106438862104 1
No No 1 1 0 1
Yes Yes 1 1 0 1
Yes Yes 1 1 0 1
No No 1 0.00147006268101648 0.998529937318984 2
Yes Yes 1 0.997911587552162 0.00208841244783753 1
Yes Yes 1 1 0 1
Yes Yes 1 0.999907274384956 0.0000927256150440094 1
Yes Yes 1 1 0 1
Yes No 1 0.99999935861804 0.000000641381960519485 1
No No 1 0 1 2
No No 1 0 1 2
No No 1 0.00101853370543325 0.998981466294567 2
Yes NA 1 1 0 1
No No 1 1 0 1
No Yes 1 1 0 1
Yes Yes 1 0.999328234200793 0.000671765799207477 1
No No 1 0.999923555713123 0.0000764442868771498 1
Yes Yes 1 0 1 2
Yes Yes 1 0.000431018738040637 0.999568981261959 2
Yes No 1 1 0 1
No Yes 1 0.000106430724471288 0.999893569275529 2
No Yes 1 1 0 1
NA NA 1 1 0 1
Yes No 1 0.99378616106197 0.00621383893802979 1
Yes Yes 1 1 0 1
No No 1 1 0 1
Yes NA 1 1 0 1
NA NA 1 1 0 1
Yes No 1 1 0 1
