CM033Q01S CM474Q01S CM155Q01S CM155Q04S CM411Q01S CM411Q02S CM803Q01S CM442Q02S DM462Q01C CM034Q01S CM305Q01S CM496Q01S CM496Q02S CM423Q01S DM406Q01C DM406Q02C CM603Q01S CM571Q01S CM564Q01S CM564Q02S ST006Q04TA ST008Q04TA V1 b1 b2 b3 b4 b5
Fullcredit Fullcredit Nocredit Nocredit Nocredit Fullcredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit NA Nocredit Nocredit Nocredit Nocredit Yes Yes 1 0 1 1 0 0
Fullcredit Nocredit Nocredit Fullcredit Fullcredit Nocredit Nocredit Nocredit NA Nocredit Nocredit Fullcredit Nocredit Fullcredit NA NA Nocredit Nocredit Nocredit Fullcredit No No 1 2 0 2 1 0
Nocredit Nocredit NA NA Nocredit Nocredit Nocredit Nocredit NA NA Nocredit Nocredit Nocredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit Yes No 1 1 1 0 1 3
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Nocredit Fullcredit Nocredit Yes Yes 1 2 0 1 1 2
Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit 01-Nocredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Nocredit Fullcredit No Yes 1 3 0 0 0 0
Fullcredit Fullcredit Nocredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit 01-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit NA NA Fullcredit Fullcredit Fullcredit Fullcredit No No 1 0 2 0 2 1
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Nocredit 01-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Nocredit Yes Yes 1 1 0 1 1 1
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 01-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit NA NA 1 2 0 0 0 1
Fullcredit Nocredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Fullcredit 01-Nocredit Nocredit Fullcredit Nocredit Fullcredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit No No 1 1 0 0 1 2
Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit 01-Nocredit Nocredit Nocredit Nocredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Fullcredit Nocredit No No 1 1 0 0 0 1
