ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.9999937140008 0.00000628599920026942 1
No No 1 1 0 1
Yes No 1 1 0 1
Yes Yes 1 0.119860897569081 0.880139102430919 2
No Yes 1 0.000447055403797556 0.999552944596202 2
No No 1 1 0 1
Yes Yes 1 0.00131062375610881 0.998689376243891 2
NA NA 1 0.00000255728259684301 0.999997442717403 2
No No 1 1 0 1
No No 1 0.0680529947859625 0.931947005214038 2
No No 1 1 0 1
Yes No 1 0.999985716493366 0.0000142835066336926 1
Yes Yes 1 0.00151267322623633 0.998487326773764 2
NA NA 1 1 0 1
Yes No 1 0.00310754896419383 0.996892451035806 2
Yes Yes 1 1 0 1
Yes Yes 1 0.999999240667994 0.000000759332006145196 1
Yes Yes 1 0.5 0.5 2
Yes NA 1 0.997771327484625 0.00222867251537444 1
NA NA 1 0.988609048388662 0.011390951611338 1
No Yes 1 0.990934911026848 0.00906508897315184 1
No No 1 1 0 1
NA NA 1 1 0 1
No NA 1 1 0 1
No No 1 0.791599763482182 0.208400236517818 1
No No 1 0.00038801366040155 0.999611986339598 2
NA NA 1 0.999824757194112 0.000175242805887768 1
No Yes 1 0.732813569226074 0.267186430773926 1
Yes Yes 1 0.99993134505653 0.0000686549434695493 1
No No 1 0.00000574936757787778 0.999994250632422 2
Yes Yes 1 0.00410876593294305 0.995891234067057 2
Yes No 1 1 0 1
Yes No 1 1 0 1
Yes No 1 0.999878457706543 0.000121542293457104 1
Yes Yes 1 0.999998501155396 0.00000149884460406956 1
NA Yes 1 1 0 1
NA NA 1 1 0 1
No NA 1 0.00022405238122124 0.999775947618779 2
No NA 1 1 0 1
No Yes 1 0.00764711910893047 0.992352880891069 2
Yes Yes 1 0.0993347180351973 0.900665281964803 2
No NA 1 0.999996997605721 0.00000300239427856296 1
No No 1 0.984228552158481 0.015771447841519 1
NA Yes 1 0.0019052602968312 0.998094739703169 2
No Yes 1 0.018338419976891 0.981661580023109 2
Yes NA 1 0.963844024215147 0.0361559757848528 1
Yes Yes 1 0.624001411149419 0.375998588850581 1
Yes Yes 1 0.418929412406828 0.581070587593172 1
No NA 1 0.984564923271561 0.0154350767284393 1
No No 1 0.999552509222512 0.000447490777488022 1
No No 1 0.16459226658525 0.83540773341475 2
No Yes 1 0.0145787015192034 0.985421298480797 2
Yes No 1 1 0 1
Yes No 1 0.691708512860896 0.308291487139104 2
No Yes 1 0.00192173566100698 0.998078264338993 2
NA NA 1 0.0302456499098271 0.969754350090173 2
No No 1 0.0000642410725909972 0.999935758927409 2
NA Yes 1 1 0 1
Yes Yes 1 1 0 1
No No 1 0 1 2
Yes Yes 1 1 0 1
Yes Yes 1 0.000171219470685787 0.999828780529314 2
No Yes 1 0.00201860062899498 0.997981399371005 2
Yes Yes 1 0.999218978026823 0.000781021973176711 1
Yes Yes 1 1 0 1
Yes Yes 1 0.999916228163945 0.0000837718360547276 1
No No 1 0 1 2
Yes No 1 0.995892773612785 0.0041072263872147 1
Yes Yes 1 0.0000113966102252014 0.999988603389775 2
No No 1 0 1 2
No No 1 1 0 1
No No 1 0 1 2
