ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.00980641223303024 0.99019358776697 1
No No 1 0.00556481862010018 0.9944351813799 1
Yes No 1 0 1 1
Yes Yes 1 0.999744007556256 0.000255992443743948 2
No Yes 1 1 0 2
No No 1 1 0 2
Yes Yes 1 1 0 2
NA NA 1 1 0 2
No No 1 1 0 2
No No 1 1 0 2
No No 1 0.0179054933152006 0.982094506684799 1
Yes No 1 0.0446387961591835 0.955361203840816 1
Yes Yes 1 0.999974465552898 0.0000255344471021086 2
NA NA 1 0 1 1
Yes No 1 1 0 2
Yes Yes 1 0 1 1
Yes Yes 1 0.00311915621612589 0.996880843783874 1
Yes Yes 1 0.5 0.5 1
Yes NA 1 0.514009878382894 0.485990121617106 2
NA NA 1 1 0 2
No Yes 1 0.891422369962337 0.108577630037663 2
No No 1 1 0 2
NA NA 1 0.000170093814024781 0.999829906185975 1
No NA 1 0 1 1
No No 1 0.991074839480012 0.00892516051998774 2
No No 1 1 0 2
NA NA 1 0.0614507517453205 0.938549248254679 1
No Yes 1 1 0 2
Yes Yes 1 0.0689652037309843 0.931034796269016 1
No No 1 1 0 2
Yes Yes 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0.00158815380070407 0.998411846199296 1
NA Yes 1 0 1 1
NA NA 1 0.000492345780722402 0.999507654219278 1
No NA 1 1 0 2
No NA 1 0.858540116952584 0.141459883047416 2
No Yes 1 1 0 2
Yes Yes 1 0.998502103844115 0.00149789615588553 2
No NA 1 0.000909749074843705 0.999090250925156 1
No No 1 0.794895296127946 0.205104703872054 1
NA Yes 1 1 0 2
No Yes 1 0.999812458016732 0.000187541983267732 2
Yes NA 1 1 0 2
Yes Yes 1 1 0 2
Yes Yes 1 0.998523985187653 0.00147601481234672 2
No NA 1 0.783678611579109 0.216321388420891 2
No No 1 0.689392937022202 0.310607062977798 1
No No 1 0.999046814830798 0.000953185169201953 2
No Yes 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
No Yes 1 1 0 2
NA NA 1 1 0 2
No No 1 1 0 2
NA Yes 1 0 1 1
Yes Yes 1 1 0 2
No No 1 1 0 2
Yes Yes 1 0.102122138877405 0.897877861122595 1
Yes Yes 1 1 0 2
No Yes 1 1 0 2
Yes Yes 1 1 0 2
Yes Yes 1 0.0252959951845466 0.974704004815453 1
Yes Yes 1 0.356606937950305 0.643393062049695 2
No No 1 1 0 2
Yes No 1 0.760822298756274 0.239177701243726 2
Yes Yes 1 1 0 2
No No 1 1 0 2
No No 1 0 1 1
No No 1 1 0 2
No Yes 1 0.0106805980186064 0.989319401981394 1
No Yes 1 1 0 2
Yes Yes 1 0 1 1
Yes Yes 1 0.339851408054682 0.660148591945318 1
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0.425458660533595 0.574541339466405 1
No No 1 1 0 2
Yes NA 1 0 1 1
No No 1 0.518161477106569 0.481838522893431 1
No No 1 1 0 2
No No 1 0 1 1
Yes No 1 1 0 2
Yes NA 1 0.999977038260533 0.0000229617394671965 2
Yes NA 1 0 1 1
No NA 1 0 1 1
Yes No 1 1 0 2
Yes No 1 0 1 1
Yes Yes 1 0.00226157121369784 0.997738428786302 1
Yes NA 1 0.0430038737349005 0.956996126265099 1
NA Yes 1 1 0 2
No No 1 1 0 2
Yes Yes 1 0.260511480613934 0.739488519386066 1
NA NA 1 0 1 1
Yes Yes 1 0.0149834998835447 0.985016500116455 1
No No 1 1 0 2
Yes Yes 1 0 1 1
No Yes 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0.00223493573747463 0.997765064262525 1
No No 1 0.139238292502501 0.860761707497499 1
NA NA 1 1 0 2
No NA 1 0.999981243995022 0.0000187560049777245 2
Yes Yes 1 1 0 2
Yes No 1 0.988026382573908 0.0119736174260921 1
No Yes 1 1 0 2
Yes Yes 1 0 1 1
Yes No 1 1 0 2
No No 1 0.994935920321361 0.00506407967863864 2
No No 1 0 1 1
Yes Yes 1 0.97260589737483 0.02739410262517 2
Yes Yes 1 0 1 1
No No 1 1 0 2
Yes Yes 1 1 0 2
Yes Yes 1 0.00023881012989052 0.999761189870109 1
Yes Yes 1 0.852245010636084 0.147754989363916 2
Yes Yes 1 0.115450343678188 0.884549656321812 1
Yes No 1 0.0383514307660461 0.961648569233954 1
No No 1 1 0 2
No No 1 1 0 2
No No 1 1 0 2
Yes NA 1 0.572279729733255 0.427720270266745 2
No No 1 0.00170832640660143 0.998291673593398 1
No Yes 1 0.972851378888975 0.0271486211110253 2
Yes Yes 1 1 0 2
No No 1 0.739414135716416 0.260585864283584 2
Yes Yes 1 1 0 2
Yes Yes 1 1 0 2
Yes No 1 0 1 1
No Yes 1 1 0 2
No Yes 1 0.0176427478087516 0.982357252191248 1
NA NA 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0.878565243929396 0.121434756070604 2
No No 1 0.999924954283767 0.0000750457162329364 2
Yes NA 1 0.109174018428381 0.890825981571619 1
NA NA 1 1 0 2
Yes No 1 1 0 2
